epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2697,1.42856,3.91586,1.15226,0.00655,0.9322,0.53065,0.35478,0.86855,3.36637,0.90533,0.00016,0.00016,0.00016
2,189.316,1.26515,2.2278,0.9389,0.00702,1,0.50498,0.27092,0.95492,3.2176,0.94347,0.000333268,0.000333268,0.000333268
3,288.962,1.06035,1.72981,0.94444,0.0069,0.98305,0.01319,0.00837,0.88194,3.30371,0.9768,0.000499408,0.000499408,0.000499408
4,384.193,0.9546,1.52194,0.93946,0.00667,0.94915,0.01146,0.00748,0.88173,3.68628,1.03685,0.00065842,0.00065842,0.00065842
5,468.886,0.91282,1.40372,0.90344,0.00631,0.89831,0.0084,0.00532,1.07036,53.1315,1.16702,0.000810304,0.000810304,0.000810304
6,550.563,0.9209,1.29371,0.90618,0.00655,0.9322,0.00941,0.00595,1.00272,12.5448,1.10055,0.00095506,0.00095506,0.00095506
7,628.878,0.94174,1.31929,0.91977,0.63415,0.03059,0.22004,0.16087,0.96512,3.10098,1.07463,0.00109269,0.00109269,0.00109269
8,710.203,0.85321,1.20089,0.89127,0.70307,0.0339,0.0904,0.05861,1.03993,3.22033,1.14758,0.00122319,0.00122319,0.00122319
9,783.049,0.84049,1.11707,0.88927,0.00595,0.84746,0.0109,0.00628,1.21015,3.47779,1.25643,0.00134656,0.00134656,0.00134656
10,855.111,0.87762,1.1183,0.89218,0.00896,0.25424,0.02035,0.01189,1.14982,3.4159,1.24163,0.0014628,0.0014628,0.0014628
11,926.149,0.85806,1.02952,0.8833,0.0644,0.20339,0.02348,0.0166,0.99016,3.37752,1.11151,0.00157192,0.00157192,0.00157192
12,993.826,0.8375,1.02207,0.90801,0.84314,0.62712,0.72118,0.49629,1.00679,2.09758,1.08213,0.0015644,0.0015644,0.0015644
13,1062.4,0.82925,0.96445,0.88633,0.57913,0.72881,0.52921,0.40322,0.88303,1.7802,1.04897,0.0015248,0.0015248,0.0015248
14,1131.83,0.81734,0.92443,0.8779,0.81191,0.77966,0.77758,0.5886,0.96528,1.55965,1.06906,0.0014852,0.0014852,0.0014852
15,1201.64,0.80753,0.93864,0.87606,0.6756,0.70602,0.7149,0.53812,0.98135,1.47456,1.0697,0.0014456,0.0014456,0.0014456
16,1271.46,0.85267,0.90851,0.88949,0.76728,0.7265,0.76571,0.57536,0.93131,1.711,1.01973,0.001406,0.001406,0.001406
17,1341.92,0.75258,0.85214,0.8592,0.58459,0.73945,0.53014,0.37308,1.01796,1.55049,1.04688,0.0013664,0.0013664,0.0013664
18,1416.52,0.72234,0.81319,0.85938,0.79998,0.74576,0.76489,0.57373,0.93527,1.27982,1.03694,0.0013268,0.0013268,0.0013268
19,1488.33,0.72458,0.84291,0.86517,0.77516,0.77966,0.79681,0.60905,0.9095,1.23551,1.03268,0.0012872,0.0012872,0.0012872
20,1560.03,0.71677,0.80248,0.87233,0.77958,0.77932,0.81134,0.59754,0.95815,1.16625,1.05925,0.0012476,0.0012476,0.0012476
21,1631.73,0.64805,0.75537,0.85536,0.84239,0.72475,0.84788,0.64662,0.87521,1.14081,1.01521,0.001208,0.001208,0.001208
22,1703.43,0.68731,0.74733,0.84979,0.91266,0.70848,0.86299,0.65202,0.90153,1.08967,1.02465,0.0011684,0.0011684,0.0011684
