epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.215,1.56835,3.83431,1.39133,0.7738,0.38867,0.41127,0.28888,1.14997,2.96164,1.21023,0.000471041,0.000471041,0.000471041
2,223.693,1.40213,2.76588,1.28827,0.46958,0.64225,0.48427,0.30377,1.10427,3.67337,1.3336,0.000900479,0.000900479,0.000900479
3,373.927,1.29573,2.61609,1.26105,0.54687,0.69769,0.664,0.38968,1.24827,2.71027,1.50608,0.00128276,0.00128276,0.00128276
4,555.205,1.2848,2.59954,1.27151,0.65138,0.49275,0.41509,0.24341,1.18203,2.54853,1.44472,0.00121679,0.00121679,0.00121679
5,768.734,1.30252,2.07825,1.28609,0.62396,0.31018,0.27192,0.12257,1.221,2.56215,1.41782,0.00114606,0.00114606,0.00114606
6,1011.48,1.26256,1.94133,1.28171,0.27775,0.23881,0.15494,0.0761,1.21157,3.03591,1.47584,0.00107532,0.00107532,0.00107532
7,1291.04,1.25534,1.8293,1.26982,0.26999,0.32265,0.19618,0.0976,1.1826,3.87584,1.44366,0.00100459,0.00100459,0.00100459
8,1569.1,1.22366,2.01952,1.21704,0.83334,0.20691,0.29621,0.17302,1.1006,2.51166,1.31928,0.000933851,0.000933851,0.000933851
9,1863.09,1.15768,1.94338,1.22643,0.34742,0.22452,0.16447,0.08963,1.17184,3.89991,1.36846,0.000863116,0.000863116,0.000863116
10,2227.65,1.16005,1.7069,1.22904,0.43631,0.21984,0.20286,0.14857,1.07222,3.55026,1.32278,0.00079238,0.00079238,0.00079238
11,2463.68,1.07411,1.68406,1.24911,0.7219,0.20491,0.23694,0.17419,1.06505,2.5418,1.30507,0.000721645,0.000721645,0.000721645
12,2703.99,0.99139,1.8655,1.13059,0.67718,0.22452,0.24329,0.18435,1.03471,2.67724,1.29212,0.000650909,0.000650909,0.000650909
13,3196.58,0.91709,1.87487,1.10735,0.73514,0.22452,0.23749,0.17627,1.04499,2.06269,1.34032,0.000580174,0.000580174,0.000580174
