epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2569,1.03597,3.02227,1.52017,0.0031,0.5,0.4033,0.2394,1.11228,3.6499,1.65825,6.668e-05,6.668e-05,6.668e-05
2,27.458,0.81024,2.74819,1.34366,0.0033,0.5,0.41334,0.22051,1.25122,3.66414,1.78484,0.000147059,0.000147059,0.000147059
3,37.9707,0.78293,2.39208,1.25603,0.00389,0.5,0.4055,0.21549,1.36221,3.64418,1.86624,0.000224138,0.000224138,0.000224138
4,48.8373,0.85533,2.04461,1.30615,0.00467,0.54545,0.46452,0.23804,1.31942,3.53388,1.80659,0.000297916,0.000297916,0.000297916
5,58.9294,0.76756,1.63291,1.23426,0.00547,0.59091,0.47503,0.25924,1.17229,3.40185,1.64457,0.000368394,0.000368394,0.000368394
6,68.7858,0.72952,1.59378,1.1557,0.00583,0.59091,0.49381,0.34654,1.12476,3.42222,1.59447,0.00043557,0.00043557,0.00043557
7,78.6719,0.74786,1.3518,1.23571,0.95155,0.467,0.48884,0.32809,1.39376,3.12812,1.7098,0.000499447,0.000499447,0.000499447
8,89.2953,0.67393,1.27507,1.18991,0.95384,0.49221,0.49331,0.33982,1.29967,2.96393,1.54577,0.000560022,0.000560022,0.000560022
9,99.3018,0.64269,1.12776,1.12593,0.94628,0.5,0.49015,0.31482,1.29376,3.04231,1.49659,0.000617297,0.000617297,0.000617297
10,109.536,0.65459,1.27573,1.12825,0.95398,0.49379,0.59324,0.37984,1.28149,2.85631,1.65573,0.000671271,0.000671271,0.000671271
11,119.712,0.71404,1.10575,1.18871,0.95497,0.45,0.6576,0.36688,1.34855,2.95109,1.68039,0.000721944,0.000721944,0.000721944
12,130.015,0.67533,1.11799,1.10326,0.95274,0.48017,0.72897,0.47274,1.18244,3.57616,1.58735,0.000769317,0.000769317,0.000769317
13,140.64,0.63294,1.11763,1.14403,1,0.48622,0.7926,0.45824,1.28393,3.05605,1.71613,0.000813389,0.000813389,0.000813389
14,155.438,0.62405,1.05289,1.15037,1,0.48622,0.7926,0.45824,1.28393,3.05605,1.71613,0.000854161,0.000854161,0.000854161
15,166.539,0.5838,1.03446,1.08619,0.98499,0.5,0.81582,0.41365,1.40903,2.56764,1.83748,0.000891632,0.000891632,0.000891632
16,177.333,0.69589,1.07866,1.16656,0.67209,0.62569,0.78339,0.42146,1.53072,2.44829,1.9001,0.000925802,0.000925802,0.000925802
17,187.866,0.66541,1.10814,1.1793,0.55165,0.78265,0.82919,0.46033,1.39528,2.4224,1.77764,0.000956671,0.000956671,0.000956671
18,198.077,0.62247,1.02851,1.12729,0.55165,0.78265,0.82919,0.46033,1.39528,2.4224,1.77764,0.00098424,0.00098424,0.00098424
19,208.154,0.57502,0.92868,1.08899,0.63984,0.81821,0.83848,0.46345,1.31098,2.14535,1.70023,0.00100851,0.00100851,0.00100851
20,218.663,0.61428,0.93766,1.08258,0.77798,0.80657,0.84197,0.50419,1.28211,1.97289,1.65102,0.00102948,0.00102948,0.00102948
21,232.657,0.56451,0.92488,1.03791,0.77798,0.80657,0.84197,0.50419,1.28211,1.97289,1.65102,0.00100687,0.00100687,0.00100687
22,242.749,0.60612,0.94809,1.12041,0.72954,0.86364,0.86237,0.55538,1.31934,1.86292,1.69178,0.000973861,0.000973861,0.000973861
23,252.808,0.62978,0.93889,1.1207,0.76531,0.85863,0.84275,0.48556,1.51428,1.95657,1.87969,0.000940855,0.000940855,0.000940855
24,262.602,0.5802,0.92991,1.07795,0.76531,0.85863,0.84275,0.48556,1.51428,1.95657,1.87969,0.000907848,0.000907848,0.000907848
25,272.71,0.60355,1.02407,1.14448,0.82542,0.90638,0.87136,0.47469,1.5522,1.89207,1.97473,0.000874842,0.000874842,0.000874842
26,282.972,0.61865,0.94083,1.15159,0.82542,0.90638,0.87136,0.47469,1.5522,1.89207,1.97473,0.000841835,0.000841835,0.000841835
27,292.467,0.52989,0.85473,1.0112,0.84244,0.86364,0.91213,0.54891,1.4302,1.80612,1.82341,0.000808828,0.000808828,0.000808828
28,302.165,0.57009,0.96829,1.06612,0.86831,0.90909,0.90517,0.53628,1.38429,1.80516,1.69559,0.000775822,0.000775822,0.000775822
29,311.799,0.48104,0.85102,1.02291,0.86831,0.90909,0.90517,0.53628,1.38429,1.80516,1.69559,0.000742815,0.000742815,0.000742815
30,321.614,0.55612,0.84264,1.08095,0.86134,0.89648,0.90517,0.57938,1.24544,1.5893,1.54205,0.000709809,0.000709809,0.000709809
31,331.639,0.56928,0.86308,1.08108,0.86141,0.90154,0.9104,0.60697,1.20034,1.43638,1.49004,0.000676802,0.000676802,0.000676802
32,341.267,0.48226,0.78656,1.02253,0.86141,0.90154,0.9104,0.60697,1.20034,1.43638,1.49004,0.000643795,0.000643795,0.000643795
33,351.171,0.55658,0.7961,1.04471,0.91639,0.87795,0.89683,0.60431,1.22557,1.43243,1.46622,0.000610789,0.000610789,0.000610789
34,361.114,0.51878,0.80357,1.02564,0.91639,0.87795,0.89683,0.60431,1.22557,1.43243,1.46622,0.000577782,0.000577782,0.000577782
35,371.038,0.44232,0.76992,1.01474,0.86898,0.90865,0.89362,0.6037,1.24269,1.44877,1.46418,0.000544776,0.000544776,0.000544776
36,380.671,0.50022,0.77789,1.00362,0.89566,0.87936,0.91876,0.56707,1.31298,1.4604,1.50145,0.000511769,0.000511769,0.000511769
37,390.406,0.51939,0.83287,1.0677,0.89566,0.87936,0.91876,0.56707,1.31298,1.4604,1.50145,0.000478762,0.000478762,0.000478762
